State,Participation,EBRW,Math,Total,Year,z_score,Test
North Carolina,0.52,554,543,1098,2018,-0.2361923877659761,SAT
North Dakota,0.02,640,643,1283,2018,1.748202250321278,SAT
Oklahoma,0.08,541,521,1062,2018,-0.6223448578802525,SAT
Ohio,0.18,552,547,1099,2018,-0.22546593026280173,SAT
Oregon,0.48,564,553,1117,2018,-0.03238969520566352,SAT
Pennsylvania,0.7,547,539,1086,2018,-0.36490987780406825,SAT
Rhode Island,0.97,513,505,1018,2018,-1.0943089880199237,SAT
South Carolina,0.55,547,523,1070,2018,-0.5365331978548578,SAT
South Dakota,0.03,622,618,1240,2018,1.2869645776847811,SAT
Tennessee,0.06,624,607,1231,2018,1.190426460156212,SAT
Texas,0.66,520,512,1032,2018,-0.9441385829754829,SAT
Utah,0.04,480,530,1010,2018,-1.1801206480453186,SAT
Vermont,0.64,565,554,1120,2018,-0.00021032269614048216,SAT
Virginia,0.68,567,550,1117,2018,-0.03238969520566352,SAT
Washington,0.69,543,538,1081,2018,-0.41854216531994,SAT
West Virginia,0.28,513,486,999,2018,-1.2981116805802364,SAT
Wisconsin,0.03,641,653,1294,2018,1.8661932828561958,SAT
Wyoming,0.03,633,625,1257,2018,1.4693143552387449,SAT
Alabama,0.07,583,560,1143,2019,0.3109048639447508,SAT
Alaska,0.41,556,541,1097,2019,-0.1670655232206382,SAT
Arizona,0.31,569,565,1134,2019,0.21738891862978338,SAT
Arkansas,0.06,582,559,1141,2019,0.29012354276364694,SAT
California,0.63,534,531,1065,2019,-0.49956666211830014,SAT
Colorado,1.0,518,506,1024,2019,-0.9255837463309294,SAT
Connecticut,1.0,529,516,1046,2019,-0.6969892133387868,SAT
Delaware,1.0,499,486,985,2019,-1.3308195093624549,SAT
District of Columbia,0.94,495,480,975,2019,-1.4347261152679742,SAT
Florida,1.0,516,483,999,2019,-1.1853502610947277,SAT
Georgia,0.71,538,519,1058,2019,-0.5723012862521637,SAT
Hawaii,0.54,550,550,1100,2019,-0.1358935414489824,SAT
Idaho,1.0,505,488,993,2019,-1.2476942246380394,SAT
Illinois,1.0,509,504,1013,2019,-1.0398810128270006,SAT
Indiana,0.66,543,537,1080,2019,-0.3437067532600211,SAT
Iowa,0.03,622,622,1244,2019,1.360361583590496,SAT
Kansas,0.04,618,623,1241,2019,1.3291896018188403,SAT
Kentucky,0.04,620,612,1232,2019,1.235673656503873,SAT
Louisiana,0.05,610,591,1200,2019,0.9031725176062111,SAT
Maine,0.99,512,502,1013,2019,-1.0398810128270006,SAT
Maryland,0.82,535,523,1058,2019,-0.5723012862521637,SAT
Massachusetts,0.81,559,561,1120,2019,0.07191967036205629,SAT
Michigan,1.0,507,496,1003,2019,-1.14378761873252,SAT
Minnesota,0.04,636,648,1284,2019,1.7759880072125735,SAT
Mississippi,0.03,628,608,1237,2019,1.2876269594566327,SAT
Missouri,0.04,622,615,1236,2019,1.2772362988660808,SAT
Montana,0.09,603,596,1199,2019,0.8927818570156592,SAT
Nebraska,0.03,628,631,1260,2019,1.526612153039327,SAT
Nevada,0.2,580,576,1156,2019,0.44598345162192593,SAT
New Hampshire,0.95,533,526,1059,2019,-0.5619106256616118,SAT
New Jersey,0.82,544,545,1090,2019,-0.23980014735450175,SAT
New Mexico,0.18,543,530,1073,2019,-0.41644137739388465,SAT
New York,0.79,531,533,1064,2019,-0.5099573227088521,SAT
North Carolina,0.51,554,546,1100,2019,-0.1358935414489824,SAT
North Dakota,0.02,627,636,1263,2019,1.5577841348109829,SAT
Ohio,0.19,550,548,1097,2019,-0.1670655232206382,SAT
Oklahoma,0.22,490,472,963,2019,-1.5594140423545975,SAT
Oregon,0.51,562,550,1112,2019,-0.011205614362359189,SAT
Pennsylvania,0.7,545,537,1082,2019,-0.3229254320789172,SAT
Rhode Island,1.0,503,492,995,2019,-1.2269129034569355,SAT
South Carolina,0.68,526,504,1030,2019,-0.8632397827876178,SAT
South Dakota,0.03,633,635,1268,2019,1.6097374377637426,SAT
Tennessee,0.07,618,602,1220,2019,1.1109857294172498,SAT
Texas,0.68,515,507,1022,2019,-0.9463650675120333,SAT
Utah,0.04,614,615,1230,2019,1.2148923353227692,SAT
Vermont,0.66,560,546,1106,2019,-0.0735495779056708,SAT
Virginia,0.68,567,551,1119,2019,0.061529009771504356,SAT
Washington,0.7,539,535,1074,2019,-0.4060507168033327,SAT
West Virginia,0.99,483,460,943,2019,-1.7672272541656362,SAT
Wisconsin,0.03,635,648,1283,2019,1.7655973466220216,SAT
Wyoming,0.03,623,615,1238,2019,1.2980176200471847,SAT
